price,source_url,seats,name,year,typeOfCar,condition,origin,km_driven,city,transmission,fuels
150000000,https://oto.com.vn/mua-ban-xe-toyota-vios-thanh-hoa/xe-15e-mt-nam-2009-xe-nhap-aidxc10246998,5," Toyota Vios 1.5E MT 2009 - 150 triệu
            ", 2009, Sedan, Đã qua sử dụng, Nhập khẩu, 25.800 km, Thanh Hóa, Số tay, Xăng
505000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/ban-27v-4x2at-nam-san-xuat-2012-mau-xam-aidxc10247166,7," Toyota Fortuner 2.7 V 4X2 AT 2012 - 505 triệu
            ", 2012, SUV, Đã qua sử dụng, Trong nước, 145.000 km, Tp.HCM, Số tự động, Xăng
496000000,https://oto.com.vn/mua-ban-xe-toyota-yaris-ha-noi/can-ban-xe-15g-san-xuat-2016-mau-do-xe-nhap-aidxc10264442,5," Toyota Yaris 1.5G CVT 2016 - 496 triệu
            ", 2016, Hatchback, Đã qua sử dụng, Nhập khẩu, 46.000 km, Hà Nội, Số tự động, Xăng
1150000000,https://oto.com.vn/mua-ban-xe-toyota-camry-hcm/can-ban-25q-nam-2019-xe-nhap-aidxc10258046,5," Toyota Camry 2.5Q 2019 - 1 tỉ 150 triệu
            ", 2019, Sedan, Đã qua sử dụng, Nhập khẩu, 51.100 km, Tp.HCM, Số tự động, Xăng
380000000,https://oto.com.vn/mua-ban-xe-toyota-innova-ha-noi/can-ban-e-san-xuat-2015-mau-bac-380-trieu-aidxc10096077,8," Toyota Innova 2.0E 2015 - 380 triệu
            ", 2015, MPV, Đã qua sử dụng, Trong nước, 100.000 km, Hà Nội, Số tay, Xăng
565000000,https://oto.com.vn/mua-ban-xe-toyota-fortuner-hcm/can-ban-lai-xe-27v-4x2at-san-xuat-nam-2014-aidxc10267977,7," Toyota Fortuner 2.7 V 4X2 AT 2014 - 565 triệu
            ", 2014, SUV, Đã qua sử dụng, Trong nước, 80.000 km, Tp.HCM, Số tự động, Xăng
1050000000,https://oto.com.vn/mua-ban-xe-toyota-camry-ha-noi/xe-25q-san-xuat-nam-2019-mau-den-nhap-khau-nguyen-chiec-xe-gia-dinh-aidxc9806460,5," Toyota Camry 2.5Q 2019 - 1 tỉ 050 triệu
            ", 2019, Sedan, Đã qua sử dụng, Nhập khẩu, 15.000 km, Hà Nội, Số tự động, Xăng
1050000000,https://oto.com.vn/mua-ban-xe-toyota-camry-can-tho/can-ban-lai-xe-25q-nam-2019-mau-den-xe-nhap-aidxc10268299,5," Toyota Camry 2.5Q 2019 - 1 tỉ 050 triệu
            ", 2019, Sedan, Đã qua sử dụng, Nhập khẩu, 42.000 km, Cần Thơ, Số tự động, Xăng
5400000000,https://oto.com.vn/mua-ban-xe-toyota-land-cruiser-ha-noi/xe-35-v6-nam-san-xuat-2021-mau-den-xe-nhap-aidxc9796745,7," Toyota Land Cruiser VXR 3.5 2021 - 5 tỉ 400 triệu
            ", 2021, SUV, Đã qua sử dụng, Nhập khẩu, 2.000 km, Hà Nội, Số tự động, Xăng
430000000,https://oto.com.vn/mua-ban-xe-toyota-vios-hcm/ban-15g-at-san-xuat-2017-aidxc10331598,5," Toyota Vios 1.5G AT 2017 - 430 triệu
            ", 2017, Sedan, Đã qua sử dụng, Trong nước, 69.000 km, Tp.HCM, Số tự động, Xăng
