name,brand,source_url,type,origin,km_driven,external_color,seats,engine_capacity,fuels,transmission,wheel_drive,price,year
Mazda 3,,https://www.sanxehot.vn/mua-ban-xe/mazda-3-15at-2015-25533.html,Sedan,Lắp ráp trong nước,4500,Đen,,1.5,Xăng,Tự động,,628000000,2015
Mazda 6,,https://www.sanxehot.vn/mua-ban-xe/mazda-6-20at-2015-25532.html,Sedan,Lắp ráp trong nước,25515,Đen,,2.0,Xăng,Tự động,,799000000,2015
Mercedes-Benz C-class,,https://www.sanxehot.vn/mua-ban-xe/mercedes-benz-c250-25at-2013-25531.html,Sedan,Nhập khẩu,40000,Nâu,,2.5,Xăng,Tự động,,980000000,2013
Kia Morning,,https://www.sanxehot.vn/mua-ban-xe/kia-morning-10mt-2005-25529.html,Hatchback,Nhập khẩu,150000,Bạc,,1.0,Xăng,Số sàn,,165000000,2005
,,https://www.sanxehot.vn/mua-ban-xe/daewoo-lacetti-se-16mt-2010-25528.html,Sedan,Nhập khẩu,60000,Đen,,1.6,Xăng,Số sàn,,370000000,2010
Porsche Panamera,,https://www.sanxehot.vn/mua-ban-xe/porsche-panamera-36at-2014-25526.html,Sedan,Nhập khẩu,20000,Đen,,3.6,Xăng,Tự động,,3800000000,2014
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-xls-at-2015-25523.html,Bán tải,Nhập khẩu,35000,Bạc,,,Diesel,Tự động,,610000000,2015
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2014-25522.html,SUV 7 chỗ,Lắp ráp trong nước,53000,Hồng phấn,,2.5,Diesel,Số sàn,,749000000,2014
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25at-2008-25521.html,SUV 7 chỗ,Lắp ráp trong nước,87000,Đen,,2.5,Diesel,Tự động,,470000000,2008
Ford Mondeo,,https://www.sanxehot.vn/mua-ban-xe/ford-mondeo-25at-2004-25520.html,Sedan,Lắp ráp trong nước,87000,Đen,,2.5,Xăng,Tự động,,232000000,2004
Ford Ranger,,https://www.sanxehot.vn/mua-ban-xe/ford-ranger-xls-mt-2012-25519.html,Bán tải,Nhập khẩu,62000,Nâu,,,Diesel,Số sàn,,499000000,2012
Ford Everest,,https://www.sanxehot.vn/mua-ban-xe/ford-everest-25mt-2008-25518.html,SUV 7 chỗ,Lắp ráp trong nước,73000,Đen,,2.5,Diesel,Số sàn,,444000000,2008
Ford Transit,,https://www.sanxehot.vn/mua-ban-xe/ford-transit-24mt-2012-25517.html,16 chỗ,Lắp ráp trong nước,190000,Bạc,,2.4,Diesel,Số sàn,,520000000,2012
